Most common words,Absolute frequency,Relative frequency
common,12.0,0.00022067342172529838
cheeks,12.0,0.00022067342172529838
thank,12.0,0.00022067342172529838
villain,12.0,0.00022067342172529838
forehead,12.0,0.00022067342172529838
space,12.0,0.00022067342172529838
revealed,12.0,0.00022067342172529838
impossible,12.0,0.00022067342172529838
buried,12.0,0.00022067342172529838
alive,12.0,0.00022067342172529838
recollect,12.0,0.00022067342172529838
covered,12.0,0.00022067342172529838
nowt,12.0,0.00022067342172529838
horror,12.0,0.00022067342172529838
excuse,12.0,0.00022067342172529838
persuade,12.0,0.00022067342172529838
patience,12.0,0.00022067342172529838
behaviour,12.0,0.00022067342172529838
agitation,12.0,0.00022067342172529838
pulled,12.0,0.00022067342172529838
hide,12.0,0.00022067342172529838
anybody,12.0,0.00022067342172529838
fastened,12.0,0.00022067342172529838
fact,12.0,0.00022067342172529838
formed,12.0,0.00022067342172529838
church,12.0,0.00022067342172529838
hundred,12.0,0.00022067342172529838
weary,12.0,0.00022067342172529838
grow,12.0,0.00022067342172529838
descended,12.0,0.00022067342172529838
rise,12.0,0.00022067342172529838
knows,12.0,0.00022067342172529838
self,12.0,0.00022067342172529838
merely,12.0,0.00022067342172529838
vexed,12.0,0.00022067342172529838
agony,12.0,0.00022067342172529838
noticed,12.0,0.00022067342172529838
accompany,12.0,0.00022067342172529838
strike,12.0,0.00022067342172529838
born,12.0,0.00022067342172529838
ride,12.0,0.00022067342172529838
explain,12.0,0.00022067342172529838
teach,12.0,0.00022067342172529838
regard,12.0,0.00022067342172529838
watched,12.0,0.00022067342172529838
wishes,12.0,0.00022067342172529838
curate,12.0,0.00022067342172529838
harm,12.0,0.00022067342172529838
thee,12.0,0.00022067342172529838
safe,12.0,0.00022067342172529838
wide,12.0,0.00022067342172529838
discover,12.0,0.00022067342172529838
prevent,12.0,0.00022067342172529838
catch,12.0,0.00022067342172529838
quarrel,12.0,0.00022067342172529838
blue,12.0,0.00022067342172529838
amuse,12.0,0.00022067342172529838
continue,12.0,0.00022067342172529838
courage,12.0,0.00022067342172529838
grieved,12.0,0.00022067342172529838
shoulders,12.0,0.00022067342172529838
instantly,12.0,0.00022067342172529838
recovered,12.0,0.00022067342172529838
locked,12.0,0.00022067342172529838
ago,12.0,0.00022067342172529838
eagerly,12.0,0.00022067342172529838
damn,12.0,0.00022067342172529838
wept,12.0,0.00022067342172529838
visits,12.0,0.00022067342172529838
extremely,12.0,0.00022067342172529838
knife,12.0,0.00022067342172529838
quitted,12.0,0.00022067342172529838
sha,12.0,0.00022067342172529838
consent,12.0,0.00022067342172529838
news,12.0,0.00022067342172529838
danger,12.0,0.00022067342172529838
hereafter,12.0,0.00022067342172529838
village,12.0,0.00022067342172529838
anger,12.0,0.00022067342172529838
minny,12.0,0.00022067342172529838
imagined,11.0,0.00020228396991485683
expressed,11.0,0.00020228396991485683
pushing,11.0,0.00020228396991485683
lord,11.0,0.00020228396991485683
forced,11.0,0.00020228396991485683
bare,11.0,0.00020228396991485683
acquaintance,11.0,0.00020228396991485683
retired,11.0,0.00020228396991485683
supposed,11.0,0.00020228396991485683
mamma,11.0,0.00020228396991485683
opposite,11.0,0.00020228396991485683
broke,11.0,0.00020228396991485683
possessed,11.0,0.00020228396991485683
latch,11.0,0.00020228396991485683
meal,11.0,0.00020228396991485683
consequence,11.0,0.00020228396991485683
beg,11.0,0.00020228396991485683
pardon,11.0,0.00020228396991485683
guide,11.0,0.00020228396991485683
_he_,11.0,0.00020228396991485683
inclined,11.0,0.00020228396991485683
finished,11.0,0.00020228396991485683
caused,11.0,0.00020228396991485683
duty,11.0,0.00020228396991485683
men,11.0,0.00020228396991485683
ignorance,11.0,0.00020228396991485683
stare,11.0,0.00020228396991485683
trembling,11.0,0.00020228396991485683
retorted,11.0,0.00020228396991485683
violent,11.0,0.00020228396991485683
thus,11.0,0.00020228396991485683
garret,11.0,0.00020228396991485683
allowed,11.0,0.00020228396991485683
hung,11.0,0.00020228396991485683
pillow,11.0,0.00020228396991485683
constant,11.0,0.00020228396991485683
considered,11.0,0.00020228396991485683
across,11.0,0.00020228396991485683
different,11.0,0.00020228396991485683
thy,11.0,0.00020228396991485683
lying,11.0,0.00020228396991485683
forgotten,11.0,0.00020228396991485683
begone,11.0,0.00020228396991485683
rapidly,11.0,0.00020228396991485683
memory,11.0,0.00020228396991485683
