Most common words,Jane Eyre relative frequency,Wuthering Heights relative frequency,Relative frequency difference
two,0.0022669765631261377,0.0019860607955276854,0.0002809157675984523
wished,0.0008129057372826049,0.0005332941025028044,0.0002796116347798005
perceiving,0.0,0.00027584177715662294,0.00027584177715662294
repeated,0.00024043690821034795,0.0005149046506923629,0.0002744677424820149
whispered,0.00024043690821034795,0.0005149046506923629,0.0002744677424820149
hush,0.00014884189555878683,0.0004229573916401552,0.0002741154960813684
weeping,5.7246882907225704e-05,0.00033101013258794753,0.00027376324968072185
finally,5.7246882907225704e-05,0.00033101013258794753,0.00027376324968072185
visit,0.00020608877846601251,0.0004781257470714798,0.0002720369686054673
bit,0.00011449376581445141,0.00038617848801927217,0.00027168472220482075
em,2.289875316289028e-05,0.0002942312289670645,0.0002713324758041742
foolish,2.289875316289028e-05,0.0002942312289670645,0.0002713324758041742
done,0.0008701526201898307,0.0011401460122473749,0.00026999339205754415
humour,4.579750632578056e-05,0.00031262068077750604,0.0002668231744517255
nearly,0.0002862344145361285,0.0005516835543132459,0.00026544913977711736
sake,0.00019463940188456738,0.00045973629526103825,0.0002650968933764709
lattice,1.144937658144514e-05,0.00027584177715662294,0.0002643924005751778
company,0.0003091331676990188,0.0005700730061236874,0.00026093983842466863
stared,3.4348129744335424e-05,0.0002942312289670645,0.0002598830992227291
fine,0.0006640638417238181,0.00040456793982971366,0.0002594959018941045
since,0.0008816019967712758,0.0011401460122473749,0.000258544015476099
cold,0.0009388488796785015,0.0006804097169863366,0.0002584391626921649
laughing,9.159501265156112e-05,0.0003493995843983891,0.000257804571746828
thoughts,0.0005152219461650314,0.00025745232534618145,0.0002577696208188499
care,0.0006068169588165925,0.000864304235090752,0.0002574872762741595
dog,0.00029768379111757366,0.0005516835543132459,0.0002539997631956722
summer,0.00020608877846601251,0.00045973629526103825,0.00025364751679502574
wi,2.289875316289028e-05,0.00027584177715662294,0.00025294302399373267
sobbed,2.289875316289028e-05,0.00027584177715662294,0.00025294302399373267
seized,0.0001717406487216771,0.0004229573916401552,0.0002512167429184781
remain,0.0001717406487216771,0.0004229573916401552,0.0002512167429184781
fro,8.014563607011598e-05,0.00033101013258794753,0.00025086449651783157
n,8.014563607011598e-05,0.00033101013258794753,0.00025086449651783157
friend,0.00032058254428046393,0.0005700730061236874,0.0002494904618432235
books,0.00032058254428046393,0.0005700730061236874,0.0002494904618432235
purpose,0.00019463940188456738,0.00044134684345059676,0.0002467074415660294
remarked,0.00019463940188456738,0.00044134684345059676,0.0002467074415660294
sure,0.0011105895284001786,0.000864304235090752,0.0002462852933094266
hinder,1.144937658144514e-05,0.00025745232534618145,0.0002460029487647363
lass,1.144937658144514e-05,0.00025745232534618145,0.0002460029487647363
morning,0.001385374566354862,0.0011401460122473749,0.0002452285541074872
absence,0.00016029127214023197,0.00040456793982971366,0.0002442766676894817
character,0.0005381206993279216,0.0002942312289670645,0.00024388947036085715
power,0.0005381206993279216,0.0002942312289670645,0.00024388947036085715
joy,0.00021753815504745768,0.00045973629526103825,0.00024219814021358057
_you_,0.00012594314239589653,0.0003677890362088306,0.0002418458938129341
entirely,0.00012594314239589653,0.0003677890362088306,0.0002418458938129341
calling,3.4348129744335424e-05,0.00027584177715662294,0.00024149364741228753
morrow,0.0003663800506062445,0.0006068519097445705,0.00024047185913832604
floor,0.00018319002530312224,0.0004229573916401552,0.00023976736633703297
departed,9.159501265156112e-05,0.00033101013258794753,0.0002394151199363864
leant,9.159501265156112e-05,0.00033101013258794753,0.0002394151199363864
chapel,0.0,0.0002390628735357399,0.0002390628735357399
lintons,0.0,0.0002390628735357399,0.0002390628735357399
doors,0.00024043690821034795,0.0004781257470714798,0.00023768883886113185
ago,0.00045797506325780563,0.00022067342172529838,0.00023730164153250725
self,0.00045797506325780563,0.00022067342172529838,0.00023730164153250725
silly,5.7246882907225704e-05,0.0002942312289670645,0.00023698434605983878
make,0.0016945077340538807,0.0019308924400963606,0.00023638470604247998
bonny,2.289875316289028e-05,0.00025745232534618145,0.00023455357218329117
raise,2.289875316289028e-05,0.00025745232534618145,0.00023455357218329117
idle,2.289875316289028e-05,0.00025745232534618145,0.00023455357218329117
amusement,2.289875316289028e-05,0.00025745232534618145,0.00023455357218329117
point,0.0005839182056537022,0.0003493995843983891,0.0002345186212553131
notice,0.00026333566137323825,0.0004965151988819213,0.0002331795375086831
flung,8.014563607011598e-05,0.00031262068077750604,0.00023247504470739005
naughty,8.014563607011598e-05,0.00031262068077750604,0.00023247504470739005
refused,8.014563607011598e-05,0.00031262068077750604,0.00023247504470739005
road,0.0005037725695835861,0.0007355780724176612,0.00023180550283407513
hearth,0.00032058254428046393,0.0005516835543132459,0.00023110101003278195
clear,0.00046942443983925077,0.0002390628735357399,0.00023036156630351087
concerning,4.579750632578056e-05,0.00027584177715662294,0.0002300442708308424
marry,0.0005610194524908119,0.00033101013258794753,0.00023000931990286438
open,0.0008014563607011598,0.0010298093013847258,0.000228352940683566
mention,0.00010304438923300626,0.00033101013258794753,0.00022796574335494127
forget,0.0005037725695835861,0.00027584177715662294,0.00022793079242696318
death,0.0006182663353980376,0.0008459147832803104,0.00022764844788227283
dismal,1.144937658144514e-05,0.0002390628735357399,0.00022761349695429476
sat,0.0012021845410517397,0.0009746409459534011,0.00022754359509833853
together,0.0005266713227464765,0.0007539675242281028,0.0002272962014816263
times,0.0003434812974433542,0.0005700730061236874,0.00022659170868033322
give,0.0014769695790064232,0.0012504827231100241,0.00022648685589639903
rough,0.00016029127214023197,0.00038617848801927217,0.0002258872158790402
housekeeper,0.00016029127214023197,0.00038617848801927217,0.0002258872158790402
odd,6.869625948867085e-05,0.0002942312289670645,0.00022553496947839364
raised,0.00021753815504745768,0.00044134684345059676,0.00022380868840313908
cause,0.00012594314239589653,0.0003493995843983891,0.00022345644200249255
way,0.0016945077340538807,0.0014711561448353225,0.00022335158921855816
quiet,0.0006640638417238181,0.00044134684345059676,0.00022271699827322138
window,0.0008816019967712758,0.0011033671086264918,0.00022176511185521591
notion,0.00018319002530312224,0.00040456793982971366,0.00022137791452659142
sit,0.0006984119714681536,0.0009194725905220765,0.00022106061905392295
walking,9.159501265156112e-05,0.00031262068077750604,0.00022102566812594492
stopped,0.0005152219461650314,0.0002942312289670645,0.00022099071719796688
nowt,0.0,0.00022067342172529838,0.00022067342172529838
sha,0.0,0.00022067342172529838,0.00022067342172529838
behaviour,0.0,0.00022067342172529838,0.00022067342172529838
hide,0.0,0.00022067342172529838,0.00022067342172529838
minny,0.0,0.00022067342172529838,0.00022067342172529838
doubt,0.0006984119714681536,0.0004781257470714798,0.00022028622439667375
kill,5.7246882907225704e-05,0.00027584177715662294,0.00021859489424939723
feelings,0.0005495700759093668,0.00033101013258794753,0.00021855994332141925
followed,0.0006411650885609279,0.0004229573916401552,0.00021820769692077266
